SiduriMakorPitzul,MbNifkadGalKodem,Siduri,wave,s_seker,MishkalMb,sumHPensiaShnatit,sumHHishShnatit,sumHGemelShnatit,sumHMilgaShnatit,sumHHulShnatit,sumHAnashimShnatit,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,m_SetachMigrashBayitprati,ShuviDira,ShanaRechishaK1,ChodeshRechishaK1,ChodeshRechishaB1,m_DmeSchirutChodeshi,MatbeaKnuya1,MatbeaBniya1,MatbeaAlutBniya1,AimMekura1,AlutBniya1,BaayaBiluy1,BaayaChinuch1,BaayaChoshech1,BaayaHaznacha1,BaayaKvish1,BaayaMatos1,BaayaMifal1,BaayaRakevet1,BaayaRech1,BaayaZevel1,BaayaZihum1,ChanayaPratit1,ChederAronot1,ChisachonAtid1,ChisachonHayom1,DiraMedurag1,GinaPratit1,GodelGinaPratit1,HagdalatDira1,HasakaPratit1,K_MispHadarim1,K_MispHadarimMegurim1,KamaGinaPratit1,KamaKivun1,KamaMirpeset1,KamaSherutim1,Kivun1,Maaliyot1,MachsanBetochD1,MachsanMiD1,MazavKAtid1,MazavKAvar1,MechirBniya1,MechirKnuya1,MekorSetach1,MirpesetChitzonit1,MirpesetSherut1,MispDirotBinyan1,MispKomotBinyan1,Mocher1,MspDirotBeKomatMegurim1,NofAntena1,NofGag1,NofKvish1,NofKvishPnimi1,NofRakevet1,NofSetachPatuch1,NofSetachYarok1,NofYam1,OfenBaalut1,OfenBaalutMigrash1,SetachBayitpratY1,SetachDira1,Sfarim1,ShanaBniya1,ShanaRechishaB1,SinuyimPnimiimBDira1,SugDira1,k_baalut1,k_MispMeconiyot1,k_mizug1,k_ShaotOzeret1,Meconit1,Ozeret1,ShuviDiraYoter1,SinuyDira21,SinuyDiraP21,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,sumHMosdotShnatitnew,SacShnatikolel_Lembnew
,1,17,3,2015,378.7459278,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,,,1962,8,,,7,,,,,,,,,,,,,,,,2,2,4,3,2,1,99999998,,3,3,3,1,,1,1,,0,2,2,99999998,5,,18000,3,1,2,1,2,1,2,,,,,,,,,1,,,57,3,2,,,2,1,2,2,,1,2,5,2,2,,,,,44522.25,44522.25
,1,18,3,2015,889.2356612,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,2014,1,,,,,,2,,2,2,1,2,2,2,2,2,2,2,1,1,2,99999998,3,1,2,,2,3,5,2,,3,,2,4,1,2,2,99999998,3,,99999999,,,2,2,3,1,2,2,1,2,1,2,2,2,2,1,,,99999998,4,99999998,,2,3,1,1,2,,1,2,,,,,,,,60876,60876
,1,19,3,2015,436.2410437,0,0,0,0,0,0,0,0,0,42000,0,2,0,2,1,1,,2600000,2008,7,,,2,,,2,,,,,,,,,,,,,1,2,3,3,1,1,60,,3,5,5,1,,,4,,0,2,2,3,3,,350000,3,,1,,,1,,,,,,,,,,1,,,200,3,8,,,5,1,1,1,1,1,1,,2,2,2,1,2,2,46145,88145
,1,21,3,2015,710.8821566,0,0,0,0,0,0,0,0,0,43800,0,2,0,2,1,1,,,,,,4000,,,,,,,,,,,,,,,,,,2,1,2,2,2,,,2,3,3,,,1,2,,0,2,2,3,3,,,4,1,1,2,4,,2,,,,,,,,,,,,60,5,,,,4,2,1,3,,1,2,,,,,,,,0,463800
,1,22,3,2015,1528.095372,0,0,0,0,0,0,0,0,0,0,0,6,4,2,1,1,,,2005,4,,,1,,,2,,,,,,,,,,,,,1,2,1,2,1,1,70,,1,5,5,1,,,2,,0,2,2,3,3,,1550000,4,,1,2,5,2,2,,,,,,,,,1,,,120,4,9,,,2,1,2,3,,1,2,3,2,2,,,,,6552.666667,870552.6667
,1,24,3,2015,1101.441707,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,,,99999998,,,,,,99999998,,,,,,,,,,,,2,2,3,3,2,2,,,3,3,2,,,,2,,0,2,2,5,5,99999998,,3,2,2,1,3,,1,,,,,,,,,2,1,,110,2,7,99999998,,4,1,1,3,,1,2,,2,2,,,,,12442.08333,60442.08333
,2,25,3,2015,572.7367991,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,99999998,,,,,,,,,,2,2,99999998,2,2,2,2,2,2,2,2,2,2,99999998,99999998,2,,,1,3,3,3,,2,1,1,99999998,0,2,2,99999998,3,,,,1,2,1,2,,2,99999998,2,2,2,2,2,2,2,99999998,,,99999998,6,99999998,,1,4,1,,2,99999998,2,1,,,,2,1,1,2,33854,33854
,2,26,3,2015,1177.266249,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,99999998,99999998,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,,,2,3,4,4,,3,,2,5,0,2,1,3,3,,99999998,3,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,,,90,2,99999998,,2,4,1,1,2,,1,2,,,,,,,,25564.5,67564.5
,1,29,3,2015,791.0090082,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,,1995,12,,,2,,,,,,,,,,,,,,,,2,2,4,3,2,,,,3,3,3,,,,2,,1,2,2,2,4,,145000,4,,2,4,8,1,3,,,,,,,,,1,,,86,2,4,,,4,1,,2,,2,2,,2,2,,,,,48237,96237
,2,30,3,2015,1388.664457,0,0,0,0,0,0,0,0,0,0,0,5,2,3,2,1,,,,,99999998,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,,,2,1,5,4,,2,2,3,5,0,1,2,3,3,,,4,1,2,2,2,,2,2,1,2,1,2,2,2,2,2,3,,110,2,7,1997,2,1,1,1,2,1,1,1,,,,2,1,2,2,2838.666667,266838.6667
,1,31,3,2015,395.5768022,0,22000,0,0,0,0,0,0,0,0,0,3,0,3,1,2,,,,,,4200,,,,,,,,,,,,,,,,,,2,1,4,2,2,,,1,4,3,,,1,2,,1,2,1,99999998,99999998,,,4,1,1,2,5,,2,,,,,,,,,,,,87,5,,,,4,2,2,3,,1,2,,,,,,,,0,130000
,1,33,3,2015,572.1675497,128400,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,330,99999998,1999,99999998,,,2,,,2,,,,,,,,,,,,,1,2,99999998,3,1,,,,3,5,5,,,,4,,0,2,2,2,3,,1850000,4,,1,,,1,,,,,,,,,,1,,,270,5,6,,,8,1,1,2,2,1,1,,2,2,2,1,2,2,62287.25,493478.25
,2,34,3,2015,854.6715348,36000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,99999998,1948,99999998,,,,,,,,2,1,2,2,2,2,2,2,1,1,2,2,2,4,3,2,,,2,3,3,3,,3,1,1,1,0,2,2,4,4,,99999998,,1,2,4,10,2,2,2,1,1,1,2,2,2,2,1,,,99999998,5,1,,2,4,1,,2,1,2,1,,,,2,1,2,2,35069,71069
,2,35,3,2015,1313.054173,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,,99999998,2004,1,,,,,,2,,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,,,2,3,4,3,,2,1,2,5,2,2,2,3,3,,99999999,4,1,1,3,9,2,2,2,1,2,1,2,2,2,2,1,,,120,2,8,,2,4,1,1,1,,1,2,,,,,,,,2838.666667,268106.0667
,1,36,3,2015,348.1809573,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,2012,2,,,1,,,1,,,,,,,,,,,,,1,2,4,3,1,1,150,,3,4,3,2,,,2,,1,2,1,3,3,,1480000,1,,1,3,3,2,4,,,,,,,,,1,,,119,3,9,,,2,1,1,1,,1,2,,2,2,,,,,15035,132035
,1,37,3,2015,1066.323235,60000,0,0,0,60000,0,0,0,0,0,0,2,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,4,3,2,1,15,,3,3,2,1,,,1,,0,2,1,4,3,,,1,2,1,1,1,,1,,,,,,,,,,,,56,4,,,,2,1,1,1,,1,2,,,,,,,,53196,173196
,1,38,3,2015,732.8088462,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,2012,1,,,1,,,,,,,,,,,,,,,,2,2,4,3,2,1,99999998,,3,4,3,1,,1,2,,0,2,2,99999998,3,,1000000,,1,2,2,3,1,2,,,,,,,,,1,,,99999998,3,99999998,,,4,1,,2,4,2,1,,2,2,2,1,1,2,46234,46234
,2,40,3,2015,747.3004199,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,,1500000,1972,9,,,2,,,,,2,1,2,2,2,2,2,2,2,1,2,2,2,4,3,2,,,2,3,4,2,,3,,2,99999998,0,1,2,3,3,,300000,4,2,2,2,3,1,2,2,2,2,2,2,2,2,2,1,,,75,5,1,,2,4,1,,1,,2,2,,,,,,,,0,87600
,1,41,3,2015,854.6715348,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,,1984,7,,,7,,,,,,,,,,,,,,,,2,2,4,3,2,2,,,1,4,3,,,1,2,,0,2,2,3,3,,248000,4,1,1,2,3,1,2,,,,,,,,,1,,,90,5,5,,,4,1,,1,,2,2,3,2,2,,,,,26324.5,26324.5
,1,42,3,2015,876.4718705,0,0,0,9600,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,1975,9,,,,,,,,,,,,,,,,,,,2,2,4,5,2,2,,,3,4,3,,,,1,,0,2,2,3,4,,99999998,,2,2,2,3,2,2,,,,,,,,,1,,,99999998,5,5,,,4,1,,1,,2,2,,2,2,,,,,957.0833333,13057.08333
,1,44,3,2015,573.3925206,38400,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,99999998,1972,9,,,1,,,1,,,,,,,,,,,,,1,2,99999998,3,2,2,,,3,4,4,,,,2,,1,2,2,99999998,3,,65000,1,2,2,3,5,2,4,,,,,,,,,1,,,110,5,4,,,4,1,,2,4,2,1,,2,2,1,1,2,2,100491.5,138891.5
,2,46,3,2015,2654.278025,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,,,,,,99999998,,,,2,,2,2,1,1,1,1,2,2,2,1,2,1,2,3,3,2,,,,1,2,2,,4,,1,4,0,2,2,99999998,2,,,4,2,2,,,,,1,2,1,2,2,1,2,1,,,,42,3,9,,,8,2,1,2,,1,2,,,,,,,,0,31879
,2,47,3,2015,3000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,99999998,99999998,99999998,,,,,,,,2,2,2,2,1,2,2,2,2,2,2,2,2,4,4,2,,,2,3,2,2,,2,1,2,99999998,0,2,1,5,5,,99999998,,1,1,3,4,1,2,2,2,2,1,2,2,2,2,1,,,99999998,3,99999998,,2,4,1,,3,1,2,1,,,,2,1,1,2,34300,34300
,1,48,3,2015,761.5651606,0,0,0,0,0,0,0,0,0,30000,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,2,1,4,4,2,2,,,3,3,3,,,,1,,0,2,2,4,3,,,4,2,2,2,3,,2,,,,,,,,,,,,77,5,,,,4,3,,2,,2,2,,,,,,,,0,150000
,1,49,3,2015,675.2116152,72000,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,,1600000,2004,8,,,2,,,1,,,,,,,,,,,,,1,2,2,2,2,2,,,3,4,4,,,1,2,,1,1,1,3,3,,235000,3,1,1,2,4,1,2,,,,,,,,,1,,,97,4,7,,,4,1,,1,,2,2,,2,2,,,,,50172.33333,143172.3333
,1,51,3,2015,774.8339108,180000,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,,1999,5,,,2,,,2,,,,,,,,,,,,,1,2,1,2,1,1,16,,1,5,5,1,,,3,,1,2,1,3,3,,390000,1,,1,3,5,1,2,,,,,,,,,1,,,150,5,6,,,2,1,1,1,,1,2,3,2,2,,,,,25267,205267
,1,52,3,2015,410.598237,136800,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,,,2003,3,,,1,,,1,,,,,,,,,,,,,1,1,2,2,2,1,150,,3,5,4,1,,1,3,,0,2,1,4,3,,1250000,3,1,1,,,2,,,,,,,,,,1,,,160,4,8,,,5,1,1,1,,1,2,,2,2,,,,,33506.66667,170306.6667
,2,53,3,2015,617.8528941,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,1,2,,,,,,,,0,0
,1,54,3,2015,572.7367991,48000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,,1961,8,,,7,,,,,,,,,,,,,,,,2,2,4,3,2,1,20,,3,4,2,1,,1,2,,0,2,2,3,3,,11000,3,1,1,,,1,,,,,,,,,,1,,,132,5,2,,,5,1,,2,,2,2,,2,2,,,,,28300,76300
,1,55,3,2015,444.6178306,198000,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,,,,,10000,,,,,,,,,,,,,,,,,,2,1,2,2,2,,,2,3,3,,,,2,,3,2,2,2,2,,,2,2,2,5,15,,8,,,,,,,,,,,,70,2,,,,4,2,1,2,1,1,1,,,,2,1,2,2,64704,262704
,1,56,3,2015,717.8253522,60480,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,,2004,7,,,1,,,2,,,,,,,,,,,,,1,2,3,3,2,2,,,2,3,3,,,1,2,,1,2,1,3,3,,800000,1,1,1,3,3,2,4,,,,,,,,,1,,,100,6,8,,,4,1,,1,1,2,1,,2,2,2,1,2,2,30229.5,90709.5
,1,57,3,2015,902.7518505,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,280,,1976,6,,,,,,,,,,,,,,,,,,,2,2,3,3,1,,,,3,5,5,,,,2,,0,2,1,3,3,,99999998,4,,2,,,1,,,,,,,,,,1,,,110,2,2,,,7,1,,2,,2,2,,2,2,,,,,43732.5,43732.5
,1,58,3,2015,449.287249,25200,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,,99999998,99999998,99999998,,,,,,,,,,,,,,,,,,,,,4,3,2,,,,,1,1,,,,,,,,,4,3,,99999999,3,,,3,4,99999999,1,,,,,,,,,1,,,79,4,99999998,,,2,1,1,,,1,2,,2,1,,,,,70520,95720
,1,59,3,2015,644.021657,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,,1969,99999998,,,7,,,,,,,,,,,,,,,,2,2,3,1,2,2,,,3,3,3,,,,2,,1,2,2,3,3,,60000,3,2,2,4,8,2,3,,,,,,,,,1,,,95,5,4,,,4,1,1,2,,1,2,,2,2,,,,,7465,413982.6667
,1,60,3,2015,662.1818519,0,0,0,0,0,0,0,0,0,6000,0,1,0,1,1,0,,,,,,4600,,,,,,,,,,,,,,,,,,1,1,1,2,,,,3,5,2,,,1,2,,0,2,2,99999998,3,,,4,1,2,,,,,,,,,,,,,,,,105,3,,,,8,2,1,2,,1,2,,,,,,,,0,174000
,2,61,3,2015,623.2645959,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,200,99999998,,,99999998,,,,,,99999998,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,,,2,3,3,3,,4,,2,5,0,2,1,99999998,2,99999998,,4,2,2,,,,,2,1,2,1,2,2,2,2,2,1,,110,5,1,99999998,1,8,1,1,2,,1,2,,,,,,,,31377.75,223377.75
,2,62,3,2015,971.9145851,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,,,,,,,,,,2,,,,,,,,,,,,,1,2,4,4,2,,,,3,4,3,,99999998,1,1,99999998,1,2,1,99999998,3,,,,1,1,4,4,,2,,,,,,,,2,,,,99999998,3,,,,4,1,1,3,,1,2,,,,,,,,90368,118436
,1,63,3,2015,978.3436105,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,2014,10,,,,,,2,,2,2,2,2,2,2,2,2,2,2,2,1,1,3,4,2,,,2,3,5,5,,2,2,3,4,1,2,1,3,3,,99999999,3,1,2,4,4,2,2,1,1,2,2,2,2,2,2,1,,,120,5,9,,2,3,1,1,2,,1,2,,,,,,,,48144,98120
,1,64,3,2015,572.1675497,66000,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,99999998,99999998,,,7,,,,,,,,,,,,,,,,2,2,3,2,2,2,,,3,4,4,,,,2,,1,2,2,99999998,3,,25000,4,2,1,4,6,2,4,,,,,,,,,1,,,75,2,6,,,4,1,1,2,1,1,1,,2,2,2,1,2,2,26690,92690
,1,66,3,2015,436.2410437,90000,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,2001,12,,,,,,3,,,,,,,,,,,,,1,1,2,2,1,1,210,,3,5,5,1,,,3,,0,2,2,3,3,,99999999,3,,1,,,2,,,,,,,,,,1,,,194,5,7,,,5,1,2,2,,1,2,,2,2,,,,,60540,246540
,1,67,3,2015,552.4407009,39600,0,0,0,0,0,600,0,0,0,0,1,0,1,0,1,,,,,,5340,,,,,,,,,,,,,,,,,,2,99999998,99999999,2,2,,,2,1,1,,,,1,,2,2,2,99999998,2,,,,2,2,5,4,,99999998,,,,,,,,,,,,99999998,1,,,,4,2,,1,1,2,1,,,,2,2,1,2,78206.66667,196406.6667
,1,68,3,2015,539.8046125,72000,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,,99999998,99999998,99999998,,,7,,,,,,,,,,,,,,,,2,2,4,3,2,2,,,3,4,4,,,,3,,1,2,2,5,3,,140000,3,2,2,3,4,2,1,,,,,,,,,1,,,100,3,5,,,4,1,1,1,,1,2,,2,2,,,,,53196,251196
,1,69,3,2015,644.6765787,30000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,99999998,1965,5,,,7,,,,,,,,,,,,,,,,,,3,3,2,,,,,1,1,,,,,,,,,3,3,,42000,,,,2,3,2,2,,,,,,,,,1,,,,2,3,,,4,1,1,,,1,2,,1,2,,,,,74182.41667,104182.4167
,1,70,3,2015,827.4759264,126000,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,,,1986,99999998,,,2,,,,,,,,,,,,,,,,2,2,4,3,2,2,,,3,3,3,,,,1,,1,2,2,3,3,,50000,4,2,2,3,4,3,4,,,,,,,,,1,,,65,5,6,,,4,1,,3,4,2,1,3,2,2,1,1,1,2,36280,162280
,1,72,3,2015,644.021657,0,0,0,0,0,0,0,0,0,43200,0,2,0,2,1,1,,,1994,4,,,2,,,,,,,,,,,,,,,,2,2,3,3,2,2,,,3,4,3,,,,1,,1,2,2,3,3,,153000,1,2,1,4,7,1,4,,,,,,,,,1,,,73,5,4,,,4,1,1,2,1,1,1,,2,2,2,1,2,2,48237,91437
,2,74,3,2015,572.7367991,0,0,0,0,22248,0,0,0,0,0,0,1,0,1,0,1,,99999998,1960,7,,,,,,,,2,2,1,1,1,2,2,2,2,1,2,2,1,4,4,2,,,2,3,4,4,,3,,2,6,0,2,2,3,3,,99999998,3,2,1,2,4,2,2,2,2,2,1,2,2,1,2,1,,,64,5,3,,1,4,1,,2,,2,2,,,,,,,,21812,44060
,1,75,3,2015,659.9596192,84000,0,0,0,0,0,0,0,0,54000,0,2,0,2,1,1,,99999998,2015,1,,,1,,,1,,2,2,2,2,2,2,2,2,2,1,2,1,1,4,3,2,,,2,3,4,1,,2,1,2,1,2,2,1,3,3,,1900000,4,1,1,4,8,2,4,2,1,2,2,2,2,1,2,1,,,120,3,9,,1,4,1,2,1,1,1,1,,,,2,1,2,2,62650,212200
,1,76,3,2015,798.241842,174000,0,0,0,0,0,0,0,0,18000,0,2,0,2,1,1,,,1981,99999998,,,,,,1,,,,,,,,,,,,,1,2,1,2,2,2,,,2,4,4,,,,2,,1,2,2,1,3,,99999998,3,2,1,3,4,2,3,,,,,,,,,1,,,90,4,6,,,4,1,2,2,1,1,1,5,2,2,2,1,2,2,23573,455573
,1,77,3,2015,572.1675497,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999999,99999998,99999998,,,,,,,,,,,,,,,,,,,2,2,99999999,99999999,2,2,,,3,3,2,,,,2,,0,2,2,99999999,99999999,,99999999,4,2,2,3,4,1,3,,,,,,,,,1,,,80,3,2,,,4,1,2,1,,1,99999999,,2,2,,,,,30160.66667,199399.6667
,1,78,3,2015,312.7616678,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,,,1977,6,,,7,,,,,,,,,,,,,,,,2,2,4,3,1,2,,,3,4,4,,,,1,,1,2,1,3,3,,177500,3,,1,4,4,2,1,,,,,,,,,1,,,100,5,5,,,4,1,,2,,2,2,,2,2,,,,,28117.5,347117.5
,1,79,3,2015,597.8856259,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,,99999998,99999998,,,,,,1,,,,,,,,,,,,,1,2,3,5,2,2,,,3,5,5,,,1,3,,1,2,1,1,2,,99999998,1,1,2,2,5,2,2,,,,,,,,,1,,,130,3,6,,,4,1,2,2,,1,2,3,2,2,,,,,24118.5,437478.5
,1,81,3,2015,405.8319359,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,2,,,1956,99999998,,,1,,,,,,,,,,,,,,,,2,2,3,2,2,2,,,3,3,3,,,,1,,0,2,2,3,3,,10000,4,2,2,2,3,2,3,,,,,,,,,1,,,60,5,3,,,3,1,1,2,1,1,1,3,2,2,2,1,2,2,81650,83960.75
,1,82,3,2015,1255.006885,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1500,99999998,,,,,,,,1,,,,,,,,,,,,,1,1,4,3,1,,,,1,5,5,,,1,4,,0,2,1,5,5,,,3,1,1,,,,,,,,,,,,,,,,365,5,,,,8,1,,1,,2,2,,,,,,,,25342.33333,25342.33333
