Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,MisparKoma1,m_SetachMigrashBayitprati,M_ShuviDira,MbNifkadGalKodem,Ozeret1,k_ShaotOzeret1,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,Meconit1,k_MispMeconiyot1,Sfarim1,MazavKAtid1,MazavKAvar1,ChisachonAtid1,ChisachonHayom1,IdkunBaalut1,IdkunMegurimSchirut1,k_baalut1,m_DmeSchirutChodeshi,SinuyDira21,SinuyDiraP21,SugDira1,MspDirotBeKomatMegurim1,MispKomotBinyan1,MispDirotBinyan1,DiraMedurag1,SetachBayitpratY1,SetachDira1,MekorSetach1,K_MispHadarim1,K_MispHadarimMegurim1,MirpesetSherut1,ChederAronot1,MachsanBetochD1,MachsanMiD1,KamaSherutim1,ChanayaPratit1,AimMekura1,Maaliyot1,MirpesetChitzonit1,KamaMirpeset1,GinaPratit1,KamaGinaPratit1,GodelGinaPratit1,k_mizug1,HasakaPratit1,Kivun1,KamaKivun1,NofYam1,NofSetachYarok1,NofGag1,NofKvish1,NofRakevet1,NofAntena1,NofKvishPnimi1,NofSetachPatuch1,BaayaChoshech1,BaayaKvish1,BaayaRakevet1,BaayaMatos1,BaayaBiluy1,BaayaChinuch1,BaayaMifal1,BaayaZevel1,BaayaZihum1,BaayaRech1,BaayaHaznacha1,ShanaBniya1,OfenBaalut1,Mocher1,ShanaRechishaK1,ChodeshRechishaK1,MechirKnuya1,MatbeaKnuya1,ShanaRechishaB1,ChodeshRechishaB1,OfenBaalutMigrash1,MechirBniya1,MatbeaBniya1,AlutBniya1,MatbeaAlutBniya1,HagdalatDira1,SinuyimPnimiimBDira1,ShuviDiraYoter1
20,,5,2017,773.8802903,0,0,0,0,0,0,0,0,0,0,0,32805,32805,2,0,2,1,1,2,,99999998,2,2,,,,,,2,,5,3,3,4,3,,,1,,,,4,2,3,3,2,,99999998,,3,2,1,2,2,2,2,2,,0,2,,,,,2,3,4,3,2,2,1,1,2,99999998,1,2,1,2,2,2,2,2,2,2,2,2,2,99999998,1,1,99999998,99999998,99999998,,,,,,,,,1,1,
21,,5,2017,773.8802903,0,0,0,0,0,0,0,0,0,0,240000,15921.33333,255921.3333,2,0,2,1,1,3,,1500000,2,2,,,,,,1,1,5,3,3,2,2,,,1,,,,4,2,5,5,2,,76,4,3,2,1,2,2,2,2,2,,0,2,,,,,3,3,4,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1992,1,99999998,,,,,,,,,2,1,
22,,5,2017,1393.531814,0,0,0,0,0,0,0,0,0,0,216000,6562.666667,590162.6667,6,3,3,1,2,1,,4200000,1,2,,,,,,1,2,4,2,3,1,2,1,,1,,2,2,2,2,5,2,1,,120,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,2,2005,4,1550000,1,,,,,,,,,,
23,,5,2017,1209.883579,0,0,0,0,0,0,0,0,0,0,0,29112,156224,2,0,2,1,1,,,900000,1,2,,,,,,2,,2,3,3,3,3,1,,1,,2,2,4,3,4,4,2,,76,3,3,3,1,2,2,2,1,1,1,0,1,1,,,,3,3,,,,,,,,,,,,,,,,,,,,,,5,1,1,1985,1,53000,2,,,,,,,,,,
24,,5,2017,832.2218554,0,0,0,0,0,0,0,0,0,0,0,30901.25,84901.25,2,0,2,1,1,,,99999998,1,2,,,,,,1,1,2,3,3,4,4,1,,1,,2,2,4,1,3,1,2,,110,3,3,2,2,2,2,2,2,2,,0,2,,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,
25,,5,2017,558.5138523,0,0,0,0,0,0,0,0,0,0,0,36320,36320,1,0,1,0,1,,,,1,1,4,2,1,1,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,5,2017,799.280562,0,0,0,0,0,0,0,0,0,0,0,55128,174368,2,0,2,1,1,,,1400000,1,2,,,,,,1,1,1,2,2,2,3,1,,1,,2,2,4,3,8,4,2,,86,4,3,3,2,2,2,2,2,2,,1,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,4,1,1,1995,12,145000,2,,,,,,,,,,
30,,5,2017,931.5138134,0,0,0,0,0,0,0,0,0,0,0,1800,327755,5,1,4,3,1,3,,99999998,1,1,1,2,1,2,2,1,2,3,3,3,4,3,1,,1,,2,2,4,2,3,2,2,,130,4,5,5,2,1,1,2,3,2,,0,1,2,,,,2,1,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,1997,8,3,,,,,,,
32,,5,2017,705.419346,0,0,0,60000,0,0,0,0,0,0,42000,112245.5833,273659.5833,3,0,3,2,1,,,,1,2,,,,,,2,,5,99999998,3,2,2,,1,2,300,,,4,3,4,3,2,,110,4,4,3,1,2,2,2,1,2,,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,5,2017,634.355338,0,0,0,18000,0,0,0,0,0,0,235259,71316,378575,2,0,2,1,1,26,,99999998,1,1,2,2,1,2,2,1,1,5,3,3,4,5,,,1,,,,4,4,31,5,2,,130,99999998,5,3,2,1,2,1,2,1,1,4,1,1,,,,1,1,4,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,1,1,2016,7,11000000,1,,,,,,,,2,2,
34,,5,2017,854.0196705,0,0,0,0,0,0,0,0,0,0,36000,35188,71188,1,0,1,0,1,-1,,99999998,1,1,1,2,1,2,2,2,,5,3,3,4,3,1,,1,,2,2,4,2,10,4,2,,99999998,,3,3,2,2,2,2,1,2,,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,1,1,2,1948,99999998,99999998,,,,,,,,,,,
35,,5,2017,1369.330955,0,0,0,0,0,0,0,0,0,0,0,4056,298430,4,2,2,1,1,,,99999998,1,2,,,,,,1,1,3,3,3,3,3,1,,1,,2,2,4,2,9,3,2,,120,4,4,3,1,2,2,2,2,1,2,2,1,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,8,1,2,2004,1,99999999,,,,,,,,,,,
36,,5,2017,349.2894344,0,0,0,0,0,0,0,0,0,0,0,74615.66667,324032.6667,2,0,2,1,1,,,99999998,1,2,,,,,,1,1,3,4,3,4,3,1,,1,,2,2,2,4,3,3,1,,119,1,4,3,1,2,2,1,2,1,1,1,,,1,2,150,1,3,,,,,,,,,,,,,,,,,,,,,,10,1,2,2012,2,1480000,1,,,,,,,,,,
37,,5,2017,1160.820454,0,0,0,0,0,0,0,0,0,0,20525,91461,111986,2,0,2,1,1,,,3500000,1,2,,,,,,1,1,4,3,3,3,3,1,,1,,2,2,2,2,2,1,2,,50,1,3,3,1,2,2,1,1,2,,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,
38,,5,2017,961.433732,0,0,0,0,0,0,0,0,0,0,0,46815,46815,2,0,2,1,1,,,,1,1,1,2,1,1,2,2,,2,3,3,3,3,,,2,99999998,,,8,,,,2,,90,4,3,2,2,2,2,2,1,2,,0,1,1,,,,2,3,6,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,99999998,,,,,,,,,,,,,,,,
40,,5,2017,685.1404938,0,0,0,0,0,0,0,0,0,0,0,4149.5,81417.5,2,0,2,2,0,0,,1800000,1,2,,,,,,2,,5,3,3,3,3,1,,1,,2,2,4,2,3,2,2,,75,4,4,2,2,2,1,2,2,2,,0,2,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,1972,9,300000,2,,,,,,,,,,
41,,5,2017,854.0196705,0,0,0,0,0,0,0,0,0,0,0,33312,33312,1,0,1,0,1,1,,2000000,1,2,,,,,,2,,5,3,3,4,4,1,,1,,2,2,4,2,3,2,2,,90,4,4,3,1,2,2,2,2,2,,0,1,1,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,5,1,1,1984,7,248000,7,,,,,,,,,,
42,,5,2017,1141.884114,0,0,0,0,0,0,0,0,0,0,0,45936,45936,2,0,2,1,1,,,1700000,1,2,,,,,,2,,5,99999998,4,4,5,1,,1,,2,2,4,2,3,2,2,,99999998,,4,3,2,2,2,2,1,2,,0,2,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,5,1,2,1975,9,99999998,,,,,,,,,,,
43,,5,2017,773.8802903,0,0,0,0,0,0,0,0,0,0,0,19197,19197,2,0,2,1,1,5,,99999998,1,2,,,,,,2,,5,3,3,3,3,1,,1,,2,2,4,2,5,4,2,,60,1,3,2,2,2,2,2,1,2,,0,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,4,1,2,1967,7,24,1,,,,,,,,,,
45,,5,2017,2711.158369,0,0,0,0,0,0,0,0,0,0,0,0,378856,3,1,2,1,1,,,99999998,1,1,2,2,1,2,1,1,2,4,3,3,2,2,1,,1,,2,2,4,2,3,2,2,,80,3,4,3,2,2,2,2,2,2,,0,1,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,1,1,2012,11,99999999,,,,,,,,,,,
47,,5,2017,2706.421106,0,0,0,0,0,0,0,0,0,0,36000,41220,77220,1,0,1,0,1,,,,2,2,,,,,,2,,5,5,5,4,3,,,1,,,,4,2,4,3,2,,99999998,,4,4,1,2,2,2,2,2,,0,2,,,,,3,3,7,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,3,,,,,,,,,,,,,2,1,
48,,5,2017,1101.428354,0,0,0,30000,0,0,0,0,0,0,0,0,150000,1,0,1,1,0,,,,1,2,,,,,,1,1,5,3,3,3,3,,1,2,3200,,,8,,,,2,,40,4,2,1,2,2,2,2,1,1,2,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,5,2017,694.0322608,0,0,0,0,0,0,0,0,0,0,0,58224,58224,2,0,2,1,1,,,99999998,1,1,1,2,1,2,2,2,,5,99999998,3,2,3,1,,1,,2,2,4,2,4,2,2,,97,3,4,4,1,2,1,1,2,1,1,1,1,1,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,7,1,1,2004,8,235000,2,,,,,,,,,,
51,,5,2017,763.8645512,4800,720,0,0,0,0,0,0,0,0,419060,55128,479708,2,0,2,1,1,,,2500000,1,2,,,,,,1,1,5,3,3,2,1,1,,1,,2,2,2,2,5,3,1,,150,1,5,5,1,2,2,1,3,1,2,1,,,1,1,16,1,1,,,,,,,,,,,,,,,,,,,,,,6,1,1,1999,5,390000,2,,,,,,,,,,
52,,5,2017,492.136774,0,0,0,0,0,0,0,0,0,0,0,1800,1800,3,1,2,0,2,,,3500000,1,2,,,,,,1,1,4,3,3,3,2,1,,1,,2,2,5,,,,2,,160,3,5,4,1,1,2,1,3,1,1,0,1,1,1,1,150,1,3,,,,,,,,,,,,,,,,,,,,,,8,1,2,2003,3,1250000,1,,,,,,,,,,
54,,5,2017,558.5138523,0,0,0,0,0,0,0,0,0,0,48000,33960,81960,1,0,1,0,1,,,5000000,1,2,,,,,,2,,5,3,3,4,3,1,,1,,2,2,5,,,,2,,132,3,4,2,1,2,2,2,2,2,,0,1,1,1,1,20,2,3,,,,,,,,,,,,,,,,,,,,,,2,1,1,1961,8,11000,7,,,,,,,,,,3
55,,5,2017,577.3899646,0,120000,120000,0,0,0,0,0,0,0,84000,65168,389168,2,0,2,1,1,,,,1,1,1,2,1,2,2,2,,1,99999998,1,2,2,,1,2,8000,,,4,8,15,5,2,,70,2,3,3,2,2,2,2,2,,,3,2,,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,5,2017,937.826259,0,0,0,0,0,0,0,0,0,0,0,33624,33624,1,0,1,0,1,,,99999998,1,1,2,2,1,2,2,2,,2,3,3,4,3,1,,1,,2,2,4,4,3,3,2,,100,1,3,3,1,2,2,1,2,1,2,1,1,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,8,1,2,2004,7,800000,1,,,,,,,,,,
57,,5,2017,944.794436,0,0,0,0,0,0,0,0,24000,0,0,24772,48772,2,0,2,1,1,,230,99999998,2,2,,,,,,2,,3,4,4,3,3,,,1,,,,8,,,,2,,100,4,5,4,2,2,2,1,1,2,,0,1,1,,,,1,3,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,99999998,1,1,1977,1,99999998,,,,,,,,,2,2,
59,,5,2017,640.9558109,0,0,0,0,0,0,0,0,0,0,128225,17916,368139,2,0,2,1,1,,,99999998,1,2,,,,,,1,2,99999998,3,3,2,2,1,,1,,2,2,4,3,8,4,2,,95,3,3,3,2,2,2,2,2,2,,1,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,4,1,2,1969,99999998,60000,7,,,,,,,,,,
60,,5,2017,708.7124318,0,0,0,0,0,0,0,0,0,0,4500,17680.66667,36492.54167,1,0,1,1,0,,,,1,2,,,,,,1,1,5,4,4,4,3,,1,2,4500,,,8,,,,2,,117,3,5,4,2,1,2,1,2,1,2,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,5,2017,587.3939437,0,0,0,0,0,0,0,0,0,0,0,37932,246732,2,0,2,2,0,,200,99999998,1,1,4,2,1,1,2,1,1,2,2,2,2,2,1,,1,,2,2,8,,,,2,,110,4,3,3,2,2,2,1,2,2,,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,
62,,5,2017,968.9805291,0,0,0,0,0,0,0,0,0,0,0,91108,104647.6,2,1,1,0,1,,,99999999,2,1,1,2,1,2,2,1,1,6,99999999,99999999,99999999,99999999,,,1,,,,4,99999999,99999999,4,99999999,,99999999,,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,,99999999,99999999,,,,,,3,99999998,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,99999999,,,,,,,,,,,,,99999999,,
63,,5,2017,1155.835408,0,0,0,0,0,0,0,0,0,0,0,75352,123352,2,0,2,1,1,,,99999998,1,2,,,,,,1,1,5,99999998,3,4,4,1,,1,,2,2,3,2,4,4,2,,120,3,5,5,2,1,2,1,3,1,2,1,1,2,,,,2,3,,,,,,,,,,,,,,,,,,,,,,10,1,2,2014,10,99999999,,,,,,,,,,,
64,,5,2017,634.355338,0,0,0,0,0,0,0,0,0,0,60000,56049,116049,2,0,2,1,1,,,99999998,1,1,4,2,2,1,2,2,,3,3,3,3,3,1,,1,,2,2,4,4,6,4,2,,75,4,4,4,1,2,2,2,2,2,,1,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,6,1,2,99999998,99999998,25000,7,,,,,,,,,,
66,,5,2017,397.9784089,0,0,0,0,0,0,0,0,0,0,200934,60636,429570,2,0,2,1,1,,,99999998,1,1,1,2,1,2,2,1,2,5,3,3,2,2,1,,1,,2,2,5,,,,1,,194,3,5,5,1,1,2,2,3,1,3,0,,,1,1,210,2,3,,,,,,,,,,,,,,,,,,,,,,7,1,2,2001,12,99999999,,,,,,,,,,,
68,,5,2017,571.1494187,0,0,0,0,0,0,0,0,0,0,0,0,140400,3,0,3,2,1,,,99999998,1,2,,,,,,1,2,3,3,3,4,3,1,,1,,2,2,4,1,4,3,2,,100,3,4,4,2,2,2,2,3,2,,1,2,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,5,1,2,99999998,99999998,140000,7,,,,,,,,,,
69,,5,2017,558.8039576,0,0,0,0,0,0,0,0,0,0,36000,75951,111951,1,0,1,0,1,,,99999998,1,1,2,2,1,2,2,1,1,3,3,3,4,3,1,,1,,1,2,4,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1965,5,42000,7,,,,,,,,,,
72,,5,2017,640.9558109,0,1200,0,36000,0,0,0,0,0,0,51624,56074,144898,2,0,2,1,1,,,1600000,1,1,1,2,1,2,2,1,1,5,3,3,3,3,1,,1,,2,2,4,4,7,4,2,,73,1,4,3,1,2,2,2,1,2,,1,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,4,1,1,1994,4,153000,2,,,,,,,,,,
74,,5,2017,558.5138523,0,0,0,0,0,0,0,0,24000,0,0,29077.83333,53077.83333,1,0,1,0,1,,,99999998,2,1,1,2,1,2,2,2,,5,4,4,4,1,,,1,,,,4,2,3,2,2,,99999998,,3,3,2,2,2,2,2,99999998,,0,2,,,,,2,3,6,99999998,2,1,2,2,2,99999998,1,2,1,1,2,1,2,2,2,2,2,2,2,3,1,1,1958,99999998,99999998,,,,,,,,,2,1,
75,,5,2017,823.4653502,0,0,0,0,0,0,0,0,0,0,127508,65670,229178,2,0,2,1,1,3,,99999998,1,1,1,2,1,2,2,1,2,4,3,3,4,3,1,,1,,2,2,4,4,8,4,2,,120,4,4,1,1,1,2,1,2,1,1,2,1,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,10,1,2,2015,1,1900000,1,,,,,,,,,,
76,,5,2017,806.5890394,3600,0,0,174000,0,0,0,0,0,0,24000,39925.33333,441525.3333,2,0,2,1,1,,,3500000,1,1,1,2,1,2,2,1,2,5,3,3,1,1,1,,1,,2,2,1,2,8,4,2,,170,3,4,4,1,1,1,1,3,1,1,2,1,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,
77,,5,2017,634.355338,0,0,0,0,0,0,0,0,0,0,0,37692,270372,2,0,2,1,1,,,99999998,1,2,,,,,,1,2,4,3,3,3,3,1,,1,,2,2,4,3,4,3,2,,80,4,3,2,2,2,2,2,2,2,,0,2,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,2,1,1,99999998,99999998,99999999,,,,,,,,,,,
78,,5,2017,317.665089,0,0,0,0,0,0,0,0,0,0,0,44988,138588,3,0,3,3,0,,,1300000,1,2,,,,,,1,1,3,3,3,3,3,1,,1,,2,2,4,1,4,4,1,,100,3,4,4,1,2,2,1,1,2,,1,,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,5,1,2,1977,6,177500,7,,,,,,,,,,3
79,,5,2017,610.2303612,0,0,0,0,0,0,0,0,0,0,0,27564,293564,2,0,2,1,1,,,,1,1,1,2,1,2,2,1,1,4,3,4,3,3,,1,2,3500,,,4,2,7,3,2,,120,4,4,3,1,2,1,2,2,1,1,1,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,5,2017,558.5138523,0,0,0,0,0,0,0,0,0,0,0,90933.33333,90933.33333,1,0,1,0,1,,,99999998,1,1,4,2,1,1,2,1,1,5,3,3,4,3,1,,1,,2,2,4,4,4,3,2,,65,4,2,1,1,2,2,2,1,2,,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,4,1,1,1975,99999998,99999998,,,,,,,,,,,
81,,5,2017,513.6867354,0,0,0,0,0,0,0,0,0,0,7633,54873.5,62506.5,3,0,3,1,2,3,,1100000,1,1,2,1,1,2,2,1,1,3,3,3,3,3,1,,1,,2,2,3,3,3,2,2,,60,4,3,3,2,2,2,2,1,2,,0,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,3,1,2,1956,99999998,10000,1,,,,,,,,,,3
83,,5,2017,445.3720617,0,0,0,0,0,0,0,0,0,0,73440,41340,114780,1,0,1,0,1,,,,1,2,,,,,,1,1,5,3,3,2,2,,,6,,,,8,,,,2,,90,3,4,4,2,2,2,1,2,,,0,1,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,5,2017,854.0196705,0,0,0,0,0,0,0,0,0,0,0,0,210000,1,0,1,0,1,2,,99999998,1,2,,,,,,1,1,3,4,3,4,2,1,,1,,2,2,4,4,5,3,2,,100,4,4,2,1,2,2,2,2,2,,0,1,1,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,5,1,1,1984,12,55000,2,,,,,,,,,,
87,,5,2017,742.7530714,0,0,0,0,0,0,0,0,0,0,0,51261,51261,2,0,2,1,1,,,1000000,1,1,2,2,2,1,2,2,,5,3,3,4,3,1,,1,,2,2,4,2,2,2,2,,70,3,3,3,2,2,2,2,1,2,,0,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,2,1,1,1965,6,24000,7,,,,,,,,,,
89,,5,2017,854.0196705,0,0,0,0,0,0,0,0,27418.38,0,0,28035,55453.38,1,0,1,0,1,1,,99999998,1,1,4,1,1,2,2,2,,5,3,3,2,2,1,,1,,2,2,4,3,4,3,2,,88,3,4,3,1,2,2,2,1,2,,1,1,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,3,1,2,1963,10,99999998,,,,,,,,,,,
91,,5,2017,851.4618809,0,0,0,0,0,0,0,0,0,0,108000,19404,127404,1,0,1,0,1,,,3000000,1,1,1,2,1,2,2,2,,2,3,3,3,3,1,,1,,2,2,4,2,3,2,2,,106,3,4,4,1,2,2,1,2,2,,0,1,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,3,1,2,1955,9,7500,7,,,,,,,,,,
