Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,zkifa_PensiaLemb,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,AimShinuiKtovet,KesefHutzAcher,MeshivHitnahalut,m_SetachMigrashBayitprati,SugMatbeaHutzAcher,HaskaPikdon1,HaskaChisachon1,HaskaNeemanut1,HaskaLoNeemanut1,SchumHalvaaLoDiyur1,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_YeshAshrai,M_ShuviDira,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,Ozeret1,k_ShaotOzeret1,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,Meconit1,k_MispMeconiyot1,Sfarim1,meshiv_hacnasot,MazavKAtid1,MazavKAvar1,ChisachonAtid1,ChisachonHayom1,Meshiv_Nechasim,IdkunBaalut1,IdkunMegurimSchirut1,k_baalut1,m_DmeSchirutChodeshi,SinuyDira21,SinuyDiraP21,SugDira1,MisparKoma1,MspDirotBeKomatMegurim1,MispKomotBinyan1,MispDirotBinyan1,DiraMedurag1,SetachBayitpratY1,SetachDira1,MekorSetach1,K_MispHadarim1,K_MispHadarimMegurim1,MirpesetSherut1,ChederAronot1,MachsanBetochD1,MachsanMiD1,KamaSherutim1,ChanayaPratit1,AimMekura1,Maaliyot1,MirpesetChitzonit1,KamaMirpeset1,GinaPratit1,KamaGinaPratit1,GodelGinaPratit1,k_mizug1,HasakaPratit1,Kivun1,KamaKivun1,NofYam1,NofSetachYarok1,NofGag1,NofKvish1,NofRakevet1,NofAntena1,NofKvishPnimi1,NofSetachPatuch1,BaayaChoshech1,BaayaKvish1,BaayaRakevet1,BaayaMatos1,BaayaBiluy1,BaayaChinuch1,BaayaMifal1,BaayaZevel1,BaayaZihum1,ShanaBniya1,OfenBaalut1,Mocher1,ShanaRechishaK1,ChodeshRechishaK1,MechirKnuya1,MatbeaKnuya1,ShanaRechishaB1,ChodeshRechishaB1,OfenBaalutMigrash1,MechirBniya1,MatbeaBniya1,AlutBniya1,MatbeaAlutBniya1,HagdalatDira1,SinuyimPnimiimBDira1,ShuviDiraYoter1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,DiraNosefet121,DiraNosefetP121,KarkaAcheret1,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,KarkaChaklait1,KarkaChaklaitSetach1,MdidaKarkaChaklait,KarkaLoChaklait1,KamaKarkaLoChaklait1,GodelKarkaLoChaklait1,MdidaKarkaLoChaklait,m_Mechirkarka,KibelMechirDiraN1,KniyaAtiditDira1,MechiraDiraNKama1,MechiraDiraNosefet1,ShuviDirotLoMegurim1,GemelVPizuyimMB1,BituachMenahalimMb1,kPensiaMB1,PikdonotMB1,TChisachonMB1,kHishMB1,kNeemanutMB1,Cluster2015,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,CheshbonChasum1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HeviDoch1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,MatbeaChisachon1,MatbeaHutz1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MenayotMB1,Minus1,PniyaBank1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,SugCheshbon1,m_SchumHalvaaDiyur1,M_ChodashimMinus1,M_PeamimPniyaBank1,M_ChodashimCheshbonChasum1,m_KesefMB1,OmdanShuviDira
19,,6,2018,509.4662727,0,0,0,48000,0,0,0,0,0,0,156000,39519,243519,0,2,0,2,1,1,1,,2,,,300000,,,,,2,2,0,1,2800000,,,,,2,,,,,,1,1,3,2,3,3,2,2,2,1,,1,,2,2,5,,,,,1,,200,3,5,5,1,2,2,2,4,1,2,0,,,1,1,60,1,3,1,3,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,8,1,1,2008,7,350000,2,,,,,,,,,,,,,2,2,1,1,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,2,1,2,8,2,2,1,,,,,,,,,,,,,,2,,,1,2,2,,,,,,,,,,,10,2018,16,1,0,,,,5,3821499.254
21,,6,2018,936.1599424,0,0,0,0,0,0,0,0,0,0,264000,42489,354489,0,2,0,2,1,1,1,,1,,,100000,1500000,,,,2,2,20000,1,1800000,,,,,2,,,,,,1,1,5,1,3,3,2,2,1,1,,1,,2,2,4,,2,5,5,2,,76,4,3,2,1,2,2,2,2,2,,0,2,,,,,3,3,4,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,4,1,1,1992,1,99999998,,,,,,,,,,,3,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,2,1,1,1,2,2,1,2,1,,,,,,,,,,,,,1,2,,,1,2,2,,9,2018,30,,,,,,,9,2018,30,1,0,,,,5,1694646.27
22,,6,2018,1649.668047,0,0,0,0,0,0,0,0,0,0,253743,3051,720594,1,6,2,4,1,3,1,,1,,,,6000,,15000,,1,2,25000,1,4000000,100,,,1,2,,,,,,1,2,4,2,2,3,2,2,1,1,,1,,2,2,2,,2,5,2,1,,120,4,,,,,,,,,,,,,,,,,,6,3,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,9,1,2,2005,4,1550000,1,,,,,,,,,,5,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,2,1,1,2,2,2,2,1,,,,,,,,2,,,,,1,2,1,,,1,2,,10,2018,3,10,2018,3,,,,,,,1,700000,,,,5,
23,,6,2018,1287.594727,0,0,0,0,0,0,0,0,0,0,0,14598,145412,0,2,0,2,1,1,1,,3,,,,,,,,2,2,7000,1,99999998,,,,,2,,,,,,2,,3,3,3,3,99999998,2,3,1,,1,,2,2,4,,3,4,4,2,,76,3,3,3,1,2,2,2,1,1,1,0,1,1,,,,3,3,4,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,1,1985,1,53000,2,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,1,2,5,1,99999998,99999998,2,,,,,,,,,,,,,2,,,,2,1,2,,,,,,,,,,,,,1,0,10,,,99999998,1534250.174
24,,6,2018,905.9543598,0,0,0,0,0,0,0,0,0,0,0,16121,88121,0,2,0,2,1,1,1,,1,,,,99999998,,,,2,2,4000,1,99999998,,,,,2,,,,,,1,1,2,1,3,3,4,3,1,1,,1,,2,2,4,,1,3,1,2,,110,3,3,2,2,2,2,2,2,2,,0,2,,2,,,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,2,,,,,,99999998,99999998,1,99999998,,99999998,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,1,2,2,2,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,0,,,,,,,,,,,,1,0,,,,3,1437922.385
27,,6,2018,2961.240485,0,0,0,0,0,12000,0,0,0,0,0,0,38052,0,1,0,1,1,0,,,1,,,,,,,6000,2,1,10000,1,,,,,,2,,,,,,1,1,4,1,3,3,2,2,1,,,2,3500,,,4,2,1,3,,2,,82,4,2,1,1,2,2,2,1,2,,0,1,,2,,,2,3,4,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,99999998,,,,,,,,,,,,,,,,,99999999,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,99999999,99999999,1,99999999,99999999,99999999,99999999,2,2,2,2,2,2,2,2,1,2,2,,,,,,,2,,,,99999999,1,2,,,,,,,,,,,,,1,0,4,,,99999999,
29,,6,2018,850.6185678,0,0,0,0,0,0,0,0,0,0,0,27618,150018,0,2,0,2,1,1,1,,1,,,,,,,,2,2,80000,1,1400000,,,,,2,,,,,,1,1,2,2,4,3,4,3,2,1,,1,,2,2,4,,3,8,4,2,,86,4,3,3,2,2,2,2,2,2,,1,,,,,,2,3,4,3,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,1,1,1995,12,145000,2,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,5,2,2,2,2,,,,,,,,,,,,,2,,,,2,1,2,,,,,,,,,,,,,1,0,1,,,1,1536971.981
30,,6,2018,991.4699529,0,0,0,0,0,0,0,0,0,0,0,1050,294050,0,5,1,4,3,1,1,,2,,,,,,15000,,1,2,60000,1,3500000,50,,,,1,1,2,1,2,2,1,1,3,2,4,3,4,3,2,1,,1,,2,2,4,,2,3,2,2,,130,4,5,5,2,1,1,2,3,2,,0,1,2,,,,2,1,5,3,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,7,2,,,,,,1997,8,3,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,2,1,2,2,2,1,1,2,,,,,,,2,,,,,,2,1,,,1,1,2,,,,8,2018,20,,,,,,,1,5000,6,,,3,4011113.893
32,,6,2018,654.5852413,0,0,0,0,0,0,0,47040,0,0,43031,94393.5,244464.5,1,2,0,2,1,1,1,,3,,,99999999,99999999,,,,2,2,99999998,1,,,,,,2,,,,,,2,,5,3,3,3,2,2,3,,1,2,250,,,4,,3,4,3,2,,110,4,4,3,1,2,2,2,1,2,,0,1,1,,,,2,3,8,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,1,,2,,,2,,2,,,2,,,2,,,,,,2,,2,99999998,2,2,1,1,1,2,2,8,2,2,1,,,,,,,,,99999999,,99999999,,,1,,,,2,2,,0,,,,,,,,,0,,,1,0,,,,99999999,
33,,6,2018,660.5706507,0,1000,0,72000,0,0,0,0,0,0,237025,29805,517430,1,2,0,2,1,1,1,,1,,,200000,99999999,99999999,,,2,2,99999998,1,11000000,15,,,,1,3,2,1,2,2,1,1,5,1,3,3,4,4,1,1,,1,,2,2,4,,4,31,5,2,,130,99999998,5,3,2,1,2,1,2,1,1,4,1,1,,,,1,1,4,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,8,1,1,2016,7,11000000,1,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,2,1,1,2,1,8,2,2,1,,,,,,,,,,,,,,2,,,1,1,2,,0,,,0,,,0,,,6,2018,25,2,0,,,,5,5310348.302
34,,6,2018,986.7379698,0,0,0,0,0,0,0,0,0,0,36000,14556,50556,0,1,0,1,0,1,1,,1,,,,,,,,2,2,99999998,2,99999998,,,,,1,2,2,1,1,2,2,,4,1,3,3,99999998,2,1,1,,1,,2,2,4,,2,10,4,2,,99999998,,3,3,2,2,2,2,1,2,,0,1,1,,,,2,3,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,2,1948,99999998,99999998,,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,1598943.23
35,,6,2018,1512.802637,0,0,0,0,0,0,0,0,0,0,0,2034,298314,0,4,2,2,1,1,1,,1,,,,99999998,,,,2,2,99999998,1,99999998,40,,40,,2,,,,,,1,1,3,1,3,3,3,3,1,1,,1,,2,2,4,,2,9,3,2,,120,4,4,3,1,2,2,2,2,1,2,2,1,1,,,,1,3,5,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,8,1,2,2004,1,99999999,,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,2,1,1,2,8,2,2,1,2,,,,,,,,,,,,,2,,,,1,1,2,0,,,0,,,,,,,,,1,0,4,,,1,2152979.487
36,,6,2018,518.344187,0,0,0,0,0,0,0,0,0,0,22405,41454,123859,1,2,0,2,1,1,1,,2,,,,,,,,2,2,15000,1,99999998,,,,,2,,,,,,1,1,4,2,3,3,3,3,2,1,,1,,2,2,2,,4,3,3,1,,119,1,4,3,1,2,2,1,2,1,1,1,,,1,2,150,1,3,4,2,2,1,1,1,2,,1,1,1,1,2,2,2,2,2,2,,10,1,2,2012,2,1480000,1,,,,,,,,,,,1,1,2,2,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,8,2,2,1,,,,,,,,,2,,3,,,1,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,2696666.226
37,,6,2018,1404.239937,0,0,0,0,0,0,0,0,0,0,20400,88096,108496,0,2,0,2,1,1,1,,2,,,400000,,,,,2,2,13000,1,3500000,,,,,1,4,2,1,1,2,2,,99999998,2,4,4,4,3,2,1,,1,,2,2,2,,2,2,1,2,,50,1,3,3,1,2,2,1,1,2,,0,2,,,,,2,3,7,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,,,,,,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,2,,,1,2,2,,,,,,,,,,,12,2018,10,1,0,,,,5,2206393.359
38,,6,2018,1078.625543,0,0,0,0,0,0,0,0,0,0,0,37647,37647,0,2,0,2,1,1,1,,2,,,,,,,,2,2,99999998,1,,,,,,1,4,2,1,1,2,2,,3,2,99999998,3,4,3,2,,1,2,4600,,,8,,,,,2,,90,4,3,2,2,2,2,2,1,2,,0,1,1,,,,2,3,6,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,0,2,,,2,,,,,,1,,2,,2,2,2,2,2,2,2,8,99999998,2,1,,,,,,,,,,,,,,2,,,,2,99999998,,,,,,,,,,,,,,1,0,,,,2,
41,,6,2018,986.7379698,0,0,0,0,0,0,0,0,0,0,0,13776,13776,0,1,0,1,0,1,1,,1,,,15000,,,,,2,2,10000,1,2500000,,,,,1,1,2,1,2,2,2,,5,1,3,3,4,4,1,1,,1,,2,2,4,,2,3,2,2,,90,4,4,3,1,2,2,2,2,2,,0,1,1,2,,,1,1,6,3,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,5,1,1,1984,7,248000,7,,,,,,,,,,99999998,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,1,2,2,2,2,2,2,1,,,,,,,,,,,,,,2,,,1,2,2,,,,,,,,,,,1,2019,27,1,0,,,,5,2178717.808
42,,6,2018,1075.576865,0,0,0,0,0,0,0,0,0,0,0,29169,53169,0,2,0,2,1,1,1,,1,,,,,,,99999998,1,1,99999998,1,99999998,,,,,2,,,,,,2,,5,1,99999998,3,4,3,1,1,,1,,2,2,4,,2,3,2,2,,99999998,,4,3,2,2,2,2,1,2,,0,2,,2,,,1,3,2,3,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,5,1,2,1975,9,99999998,,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,2,2,2,1,,2,2,2,1,2,2,2,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,99999998,,,,99999998,1466922.027
45,,6,2018,2805.701983,0,0,0,0,0,0,0,0,0,0,0,275,267492,0,1,0,1,1,0,1,,1,,,99999999,,,,,1,2,99999998,1,99999998,,,,,2,,,,,,1,1,5,1,3,3,4,3,1,1,,1,,2,2,4,,2,3,2,2,,80,3,4,3,2,2,2,2,2,2,,0,1,2,,,,1,1,6,3,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2012,11,99999999,,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,2,1,99999998,2,2,2,2,,,,,,,,2,4,,,,,1,,,,2,2,,,,,,,,,,,0,,,1,99999998,,,,5,2642215.328
