Siduri,wave,s_seker,MisparPrat,MishkalPrat,MishkalOrech,MezahePrat,Leom,YachasKirvaKalkali,SafaNosefetIvrit,SafaNosefetAravit,SafaNosefetAnglit,SafaNosefetRusit,SafaNosefetZarfatit,SafaNosefetSfaradit,SafaNosefetIdish,SafaNosefetLoYodea,K_SemelMiktzLim1,K_SemelMiktzLim2,K_sug_mosad,K_ShnLimKlali,K_SafaIkarit,K_SfatEm,bmi,Dat1,DatAteist1,DatiutLoYehudi1,DatiutYehudi1,Gil1,Mazav1,MisparMeshivP1,Yachas1,NifkadGalKodemH1,MaonGan1,MaonGanYesodi1,BateySeferLamad1,BSYsh1,IvritDibur1,IvritKria1,IvritKtiva1,Kita1,KriaHanaa1,limudim1,MiktzLim1Asakim1,MiktzLim1MadaeiHevra1,MiktzLim2Asakim1,MiktzLim2MadaeiHevra1,TeudaEretz1,TeudaGvoha1,BeayaBriut1,BeayaMafria1,KoshiHalicha1,KoshiLehitrachetz1,KoshiLevush1,KoshiMB1,KoshiReia1,KoshiShmia1,KoshiZikaron1,MatzavBriut1,K_Gova,K_Mishkal,MisparAv,MisparEm,MisparAchrai,TchunatAvodaShvuit,TchunatAvodaBederechKlal,TchunatAvodaShnatit,ShaotBdk,SemelAnaf1,SemelAnafY1,SemelMishlach1,SemelMishlachY1,HaimMemune,HaimMenahel,ImutAnaf1,ImutAnafAgaf1,ImutMishlach1,Zminut1,SibaLoZamin1,ChipesChodesh1,MekomotAvoda1,MamadAvoda1,KamaKfufim1,MekabelSachar1,Yamim1,C_SachLemaase1,Oved351,MisraMelea1,IkaritPachot351,MikumAvoda11,AvadShana1,MamadAvoday1,MekabelSacharY1,YamimY1,ShaotAvodaY1,Oved35Y1,MisraMeleaY1,MikumAvodaY11,KamaAvadK1,SibaIkarit12Chod1,ChipesShana1,ShanaAzmai,Avad12Hodashim,BrutoSachir,AchnBruAvodKodem1,BrutoAzmaiShnati1,kamaAvadNYch,RechevChevra1,rechevkalul1,havraakalul1,matanakalul1,maanakkalul1,hishtatfutkalul1,tashlumacherkalul1,pitzuyimkalul1,pidyonkalul1,bituach1,misparhodashimbituah1,schumbituach1,achnsmartafut1,achnmeshekbayit1,achnshiurprati1,achnhartzaa1,achacherz1,misparhodashimsmartafut1,misparhodashimmeshekbayit1,misparhodashimshiurprati1,misparhodashimhartzaa1,misparhodashimachacher1,schumsmartafut1,schummeshekbayit1,schumachnshiurprati1,schumachnhartzaa1,schumachacherz1,kamaAvadN2,hatavotLoBBruto,SacShnati_LePratMeAvoda,Tlush1,Ofen_Mehush1,HashavAni1,KamaAvaddY1
10,6,2018,1,457.92128768,1964.8458941,01-01015-01,1,1,0,1,0,0,0,0,0,0,,,,4,1,1,32.007315958,1,,,5,80,1,,1,1,,,1,,,,,,3,1,,,,,,7,1,4,,,,,1,1,2,2,4,9,,,,6,0,2,0,,T,,5,,,,,,,,2,,,,,,0,,0,,,1,2,,,6,,,1,0,,,2018,12,0,0,14400,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,14400,,1,4,12
10,6,2018,2,516.37068052,1363.18115,01-01015-02,1,2,1,0,0,0,0,0,0,0,,,,3,1,13,33.612268478,1,,,,80,1,,2,1,,,1,,1,1,1,,3,1,,,,,,7,2,,,,,,2,2,2,2,5,12,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
11,6,2018,2,646.91373661,1167.8082459,01-01016-02,1,1,0,0,1,0,0,0,0,0,,,,5,1,1,18.75,1,,,5,80,4,,1,1,,,1,,,,,,4,1,,,,,,3,1,4,,,,,1,1,1,2,4,2,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
12,6,2018,1,804.52260127,,01-01017-01,1,1,0,0,1,0,1,0,0,0,3,1,,6,1,1,26.346494034,1,,,4,70,4,,1,1,,,1,,,,,,4,1,,,,,3,5,1,4,,,,,1,1,1,2,4,7,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
13,6,2018,3,804.44190748,,01-01018-03,1,1,0,1,1,0,0,0,0,0,,,,3,1,1,30.078125,1,,,4,51,3,,1,2,,,1,,,,,,2,1,,,,,,7,2,,,,,,1,1,1,1,4,8,,,,1,1,2,35,C,,8,,2,,,,,,,,1,1,,1,5,35,,0,,1,,,,,,,,,0,,,,12,0,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
17,6,2018,1,439.33600728,1289.9786728,01-01022-01,1,1,0,1,0,0,0,0,0,0,,,,2,1,1,26.81359045,1,,,2,80,1,,1,2,,,1,,,,,,2,1,,,,,,7,2,,,,,,1,1,1,1,5,7,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,
17,6,2018,2,495.41316196,,01-01022-02,1,2,0,0,0,0,0,0,0,1,,,,4,1,1,23.875114784,1,,,,80,1,,2,1,,,1,,,,,,5,1,,,,,,1,1,1,3,3,2,3,2,2,2,3,5,6,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,
17,6,2018,3,495.41316196,,01-01022-03,1,3,0,0,1,0,0,0,0,0,,,,4,1,1,19.623233909,1,,,,46,3,,3,1,,,1,,,,,,3,2,,,,,,2,2,,,,,,1,1,1,1,8,6,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,
19,6,2018,1,529.29642647,665.54551835,01-01026-01,1,1,0,1,0,0,0,0,0,0,,,,5,1,1,24.21875,1,,,,72,1,,1,1,,,1,,,,,,2,2,,,,,,2,1,2,1,1,1,2,1,1,1,2,4,5,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
19,6,2018,2,548.24059419,603.82884358,01-01026-02,1,2,1,0,0,0,1,0,0,0,,,,5,1,9,26.472107438,1,,,4,73,1,,2,1,,,1,,1,1,1,,3,1,,,,,,2,1,2,2,1,1,1,1,1,1,2,7,9,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
5009,6,2018,1,1044.9513823,,01-01029-01,1,1,1,0,0,0,0,0,0,0,,,,6,5,5,34.602076125,1,,,1,79,4,,1,1,,,1,,1,1,1,,4,2,,,,,,1,1,2,2,2,2,3,1,1,1,3,6,13,,,,6,0,5,0,,,,,,,,,,,,,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
21,6,2018,1,999.69761059,,01-01031-01,1,1,0,0,1,0,1,0,0,0,5,12,1,6,1,1,23.140495868,1,,,5,70,1,,1,1,,,1,,,,,,2,1,,,,,1,6,1,4,,,,,1,1,1,2,5,5,,,,6,0,2,20,S,,2,,2,,,,,,,,3,1,,1,1,20,,0,,1,,,,,,,,,0,,,,12,4000,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,48000,2,,4,
21,6,2018,2,905.89645083,,01-01031-02,1,2,0,0,0,0,0,0,0,1,,,,4,1,1,22.10028959,1,,,,64,1,,2,2,,,1,,,,,,3,1,,,,,,2,2,,,,,,1,1,1,1,4,4,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
22,6,2018,1,1822.1323334,2534.2848722,01-01032-01,1,1,0,0,1,0,0,0,0,0,5,10,1,6,1,1,28.405504356,1,,,,51,1,,1,1,,,1,,,,,,2,1,,,,,1,5,2,,,,,,1,1,1,2,7,11,,,,3,3,2,998,M,,2,,2,,,,,,,,2,2,,,6,998,2,0,,1,,,,,,,,,0,,,2018,12,0,0,180000,12,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,180000,,1,4,
22,6,2018,2,1817.658097,2643.3729221,01-01032-02,1,2,0,0,1,0,0,1,0,0,6,,2,6,1,1,23.4375,1,,,5,46,1,,2,1,,,1,,,,,,4,1,1,,,,1,5,2,,,,,,1,1,1,1,4,5,,,,1,1,2,45,O,,2,,1,1,1,1,1,,,,1,1,7,1,5,45,,0,,,,,,,,,,,0,,,,12,20000,0,0,12,2,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,240000,2,,4,
22,6,2018,3,1707.0120772,2475.05638,01-01032-03,1,3,0,0,1,0,0,0,0,0,5,6,1,5,1,1,24.654832347,1,,,,20,5,,3,1,,,1,,,,,,2,2,,,,,,2,2,,,,,,1,1,1,1,3,5,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0,0,0,300,0,0,0,0,,0,600,,,4,
22,6,2018,4,1959.8265333,2475.05638,01-01032-04,1,3,0,0,1,0,0,0,0,0,,,,,1,1,,1,,,,15,,2,3,2,,,,1,,,,11,2,2,,,,,,,2,,,,,,1,1,1,1,7,5,1,2,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
22,6,2018,5,1661.885239,2475.05638,01-01032-05,1,3,0,0,0,0,0,0,0,1,,,,,1,1,,1,,,,13,,2,3,2,,,,1,,,,8,2,2,,,,,,,,,,,,,1,1,1,1,4,2,1,2,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
22,6,2018,6,2090.2951057,2475.05638,01-01032-06,1,3,0,0,1,0,0,0,0,0,,,,4,1,1,,1,,,,18,5,,3,2,,,1,,,,,,1,2,,,,,,2,2,,,,,,1,1,1,1,3,5,,,,1,9,1,0,,I,,5,,,,,,,,,,,,,,0,,0,,,1,1,1,3,25,,2,1,0,,2,,12,3600,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,0,43200,2,,,5
23,6,2018,1,1374.2420114,,01-01034-01,1,3,0,0,0,0,0,0,0,1,,,,,1,1,21.907582458,1,,,,80,4,,1,1,,,3,,,,,,5,3,,,,,,7,1,1,4,3,2,4,3,3,3,3,3,3,,,,6,0,5,0,,,,,,,,,,,,,,,,,,0,,0,,,2,,,,,,,,0,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
23,6,2018,3,1492.3252566,,01-01034-03,1,1,0,0,0,0,0,0,0,1,,,,5,1,1,36.623067776,1,,,3,55,5,,3,1,,,1,,,,,,2,1,,,,,,3,1,1,3,1,1,3,1,1,2,3,1,8,,,,1,1,2,40,H,,3,,2,,1,1,1,,,,1,1,,1,5,40,,0,,,,,,,,,,,0,,,,12,10730.25,0,0,12,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2051,130814,,,4,
24,6,2018,1,1121.4828345,1172.8109812,01-01038-01,2,2,0,0,0,0,0,0,0,1,,,,3,2,2,26.851851852,3,,2,,70,1,,1,1,,,1,,4,5,5,,2,1,,,,,,7,2,,,,,,1,1,1,2,8,10,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
24,6,2018,2,1245.5949013,2897.4958052,01-01038-02,2,1,1,0,0,0,0,0,0,0,,,,5,2,2,22.857142857,3,,,,63,1,,2,1,,,1,,3,3,3,,2,1,,,,,,2,2,,,,,,1,1,1,2,7,7,,,,1,1,2,40,P,,4,,2,,1,1,1,,,,1,1,,1,5,40,,0,,,,,,,,,,,0,,,,12,6000,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,72000,2,,4,
27,6,2018,1,3269.0567669,,01-01041-01,1,1,0,1,1,0,0,0,0,0,1,15,1,6,1,1,23.051754908,1,,,1,36,5,,1,2,,,1,,,,,,4,2,,,,,,7,2,,,,,,1,1,1,1,4,5,,,,2,3,2,20,X,,X,,2,,,,,,,,1,1,,1,3,20,,2,,1,,,,,,,,,0,,,,12,2171,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,26052,,,4,
29,6,2018,1,985.86888095,2298.5197905,01-01043-01,1,1,0,0,0,0,0,0,0,1,,,,2,1,1,25.529644871,1,,,3,66,1,,1,1,,,1,,,,,,2,1,,,,,,1,1,2,2,1,1,1,2,1,2,3,4,6,,,,2,1,2,40,C,,7,,2,,1,1,1,,,,1,1,,1,5,24,,0,,,,,,,,,,,0,,,,12,5200,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,62400,2,,2,
29,6,2018,2,907.86001775,,01-01043-02,1,2,0,0,0,0,0,0,0,1,,,,2,1,1,24.9107674,1,,,,72,1,,2,2,,,1,,,,,,1,1,,,,,,,1,2,1,1,1,1,2,2,3,3,4,6,,,,6,0,2,0,,G,,5,,,,,,,,2,,,,,,0,,0,,,1,1,1,5,35,,,1,0,,,,12,5000,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60000,2,,4,12
6198,6,2018,3,978.08024564,,01-01043-03,1,1,0,0,1,0,0,0,0,0,99999998,99999998,4,6,1,1,31.561671506,1,,,5,33,5,,1,1,,,1,,,,,,2,1,,,,,,3,2,,,,,,1,1,1,1,7,13,,,,1,1,2,45,G,,1,,1,1,1,1,1,,,,1,1,10,1,5,45,,0,,,,,,,,,,,0,,,,12,10000,0,0,12,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,120000,2,,1,
5918,6,2018,1,781.86542375,,01-01044-01,1,1,0,1,1,0,0,0,0,0,7,,1,6,1,1,34.748905744,1,,,5,68,1,,1,1,,,1,,,,,,4,1,,,,,1,5,1,3,2,1,1,1,1,1,1,3,6,13,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
30,6,2018,1,1174.6195425,4499.1529578,01-01045-01,1,1,0,1,1,0,0,0,0,0,,,,3,1,1,27.398175682,1,,,,52,1,,1,1,,,1,,,,,,1,1,,,,,,7,2,,,,,,1,1,1,1,6,9,,,,1,1,2,52,G,,5,,2,,1,1,1,,,,1,1,,1,6,52,,0,,,,,,,,,,,0,,,,12,10000,0,0,12,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,120000,2,,4,
30,6,2018,2,1174.8409375,,01-01045-02,1,2,0,0,1,0,0,0,0,0,,,,5,1,1,21.049817902,1,,,4,50,1,,2,1,,,1,,,,,,3,1,,,,,,3,1,3,1,1,1,1,1,1,1,2,6,5,,,,1,1,2,42,J,,2,,2,,1,1,1,,,,1,1,,1,5,42,,0,,,,,,,,,,,0,,,,12,13000,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,156000,2,,4,
30,6,2018,3,1177.8788614,,01-01045-03,1,3,0,0,1,0,0,0,0,0,,,,5,1,1,25.180785124,1,,,,24,5,,3,1,,,1,,,,,,1,2,,,,,,3,1,2,1,1,1,1,1,1,2,1,7,8,,,,6,0,1,0,,G,,5,,,,,,,,2,,,,,,0,,0,,,1,1,1,6,68,,,1,0,,2,,2,8500,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,17000,2,,4,2
30,6,2018,4,1218.3312391,,01-01045-04,1,3,0,0,1,0,0,0,0,0,,,,4,1,1,17.043302613,1,,,,20,5,,3,1,,,1,,,,,,3,1,,,,,,2,2,,,,,,1,1,1,2,7,3,,,,1,9,,0,,,,,,,,,,,,,,,,,,0,,0,,,2,,,,,,,,0,6,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
30,6,2018,5,998.81262944,2505.8410786,01-01045-05,1,3,0,0,1,0,0,0,0,0,,,,,1,1,,1,,,,12,,2,3,2,,,,1,,,,6,2,2,,,,,,,,,,,,,1,1,1,1,1,1,1,2,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
32,6,2018,1,722.62834555,,01-01048-01,1,1,0,0,1,0,0,0,0,0,,,,4,1,1,,1,,,,42,5,,1,1,,,1,,,,,,3,1,,,,,,1,1,3,1,1,1,1,1,1,1,2,4,99999998,,,,3,1,2,998,R,,5,,2,,1,1,1,,,,1,1,,1,5,998,1,0,,,,,,,,,,,0,,,,12,5000,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60000,2,,4,
32,6,2018,3,619.55447623,,01-01048-03,1,3,1,0,1,0,0,0,0,0,,,,5,1,2,22.189349112,1,,,5,74,4,,6,1,,,1,,1,1,1,,4,1,,,,,,1,1,4,,,,,1,2,1,2,3,3,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
